Date,FPA,FPXI,IQDE,IQDY,CHIQ,GEM,ADRA,PAF,IEMG,HEEM,AXJV,EMGF,ACWX,AAXJ,EEMA,AIA,IPOS,CWI,QEMM,MOTI,REMX,VEU,VXUS,AXJL,EMCG,XSOE,DNL,IHDG,DBAP
2016/9/12,-0.01980198,-0.009912314,-0.021276596,-0.024528302,-0.003427592,-0.010776663,-0.018365817,-0.005994927,-0.010438909,-0.009156627,-0.004024145,-0.009254066,-0.022593068,-0.006012378,-0.004309537,-0.007547984,0.005249344,-0.024614375,-0.011336516,-0.00673801,0.010948905,-0.025005898,-0.024516419,-0.009447674,-0.000480307,-0.005442177,-0.017126954,-0.006979449,0
2016/9/19,0.024285714,0.032629559,nan,nan,0.01300954,0.020864382,0.034364261,-0.009510554,0.020004763,0.01937046,0.021477663,0.031984149,0.023231532,0.015354748,0.020305514,0.015537333,0.017232376,0.023411371,0.017589446,0.009163347,-0.030107527,0.023076923,0.022217132,0.017422868,0.018026565,0.018239854,0.018578527,0.015971952,0.002245173
2016/9/25,0.011938202,0.002252252,0.006304559,0.011326097,0.01399825,0.01035503,0.000744879,0.001639344,0.010877276,0.004324844,0.009711511,-0.004936917,0.008769667,0.010909731,0.016387337,0.018068402,0,0.008248103,0.016703122,0.005921832,0.027736132,0.008780256,0.008821534,nan,nan,nan,nan,nan,0.01344086
2016/10/3,-0.010409438,-0.007137491,-0.007246377,-0.002333178,0.016337059,-0.003635042,0.001116487,0.000715308,-0.000697674,0.003820439,0.000565931,-0.003882418,-0.005885363,-0.001558442,-0.002182215,0.007379296,0,-0.007206027,-0.004087989,-0.012480499,-0.014705882,-0.006585136,-0.006955351,0.003371185,0,0.014634146,-0.015067912,-0.00848111,-0.006747638
2016/10/10,-0.031347962,-0.020262664,-0.016957364,-0.011693171,-0.030936455,-0.029284165,-0.008178439,0.041219919,-0.030673432,-0.02362949,-0.024569331,-0.012249443,-0.020737327,-0.034073309,-0.031601889,-0.036983171,0,-0.018372703,-0.022515528,-0.01891253,-0.030058651,-0.019330504,-0.01934323,-0.026804485,-0.014953271,-0.038898601,-0.02007689,-0.008114374,0.011601963
2016/10/17,0.004674577,0.006880734,0.007909046,0.010931559,0.019113814,0.0197246,0.012462236,0.019893592,0.019766611,0.015957447,0.013360441,0.012935883,0.015469324,0.014642857,0.012598721,0.015357993,-0.00513347,0.016091183,0.020167732,0.008080808,0.018126888,0.013969171,0.013789933,0.008494488,0.015137181,0,0.015991238,0.0109847,0
2016/10/24,-0.023664396,-0.0102118,-0.008810573,-0.001876173,-0.025445293,-0.020341446,-0.002610966,0.001587662,-0.022082752,-0.01943128,-0.010031528,-0.006107718,-0.009803922,-0.022739199,-0.014024728,-0.021204411,-0.030443756,-0.009222661,-0.01432215,-0.006,-0.012536873,-0.009494422,-0.009966025,-0.020192995,-0.038532962,-0.009222661,-0.020734341,-0.015564202,0
2016/10/31,-0.015362107,-0.023963484,-0.019202363,-0.016933208,-0.023746702,-0.030548399,-0.027402402,-0.027492177,-0.032143701,-0.031295137,-0.013062409,-0.035564268,-0.022904737,-0.021812981,-0.026320737,-0.021161736,0,-0.024260552,-0.021975846,-0.016901408,-0.013225569,-0.022493419,-0.022628571,-0.017081592,-0.029850746,-0.021276596,-0.029179465,-0.034045922,-0.015831135
2016/11/7,-0.039237257,-0.027360308,-0.020874751,0.001421801,-0.031441048,-0.064182958,0.003473562,0.006456076,-0.068729334,-0.048721659,-0.041823991,-0.061178461,-0.021393165,-0.057209054,-0.054104828,-0.046286329,-0.03672166,-0.023053792,-0.060031911,-0.005656566,0.042490842,-0.018985821,-0.020197384,-0.040701881,-0.075121951,0.015398551,-0.047228381,-0.00562249,0.006702413
2016/11/14,-0.006878105,0.00923324,-0.004613019,-0.004823927,0.023679417,0.009569378,0.016285382,-0.020463847,0.010738941,0.011195929,0.013169985,0.027372263,-0.00348806,0.008384146,0.007240547,0.008883827,0,-0.003100241,0.013748657,0.001621403,-0.014035088,-0.004441155,-0.00306387,0.004169035,-0.001579779,0,0.00750469,0.011717172,-0.003984064
